Formula,T,Seebeck,s,k,ZT
NbCo0.92Ni0.08Sn,904,-135,90240,5.833,0.255
(CaZn0.4Ag0.2Sb)0.95(LiZnSb)0.05,371,102.31,69519,1.049,0.257
Cu3.0SbSe4,373,483,2367,1.9,0.108
Bi0.9Ag0.1CuSeO,323,159.8,2600,0.56,0.038
ZnSc0.02O1.03,1073,-281,5280,6.75,0.066
(GeTe)0.8(AgSnSe2)0.2,423,37.27,223220,2.308,0.057
Ba0.97K0.03Zn2As2,523,71.6,94118,2.579,0.098
In0.075Co4Sb11.975,800,-221,34000,2.9,0.4
Ca10InSb9,673,195.11,4016,0.712,0.145
Co0.99Ni0.01GeTe,701,-107.66,61170,4.664,0.107
Sn0.98Pb0.01Zn0.01Se,573,533,872,0.768,0.185
Cu11.9Gd0.1Sb4S13,525,103.21,97870,1.503,0.364
Se0.03Co4Sb11.94Se0.06,300,-361,10400,5.2,0.1
Na0.48Co4Sb12,300,-111,277000,3.8,0.2
Cu2.5Sn0.5Sb0.5Se3.5,622,56.6,275600,4.06,0.14
Ge9Sb2Te12,324,53.25,229091,2.899,0.073
(Cu0.005Pb0.995Te)(MnTe)0.03,523,-172.63,88082,1.598,0.859
(Sn0.985In0.015Te)0.9(AgCl)0.1,323,57.37,464045,3.889,0.127
NbCoSn0.9Sb0.1,628,-129.23,120993,5.396,0.235
Ag(Bi0.8Pb0.2)0.9Sb0.1Se2,478,219.44,681,0.507,0.031
Tl0.22Co4Sb12,200,-92.57,134667,3.564,0.065
Pb0.9825Tl0.0075Na0.01Te,397,146.75,85267,2.056,0.355
Ca0.25BaGd1.75NiO5,987,151.47,394.2,1.285,0.007
Cu3SbSe4,573,320,4700,1.204,0.229
Ba0.03Co4Sb12,300,-219.66,39900,5.414,0.107
Sn0.99Ce0.01Te,523,53,278500,4.34,0.094
La0.1Ca0.9TiO3,840,-184,12000,2.94,0.116
Cu2.7Ag0.3ErTe3,900,145,31000,0.61,0.962
Ba8.01Ga15.89Zn0.006Sn30.1,460,391,11429,0.871,0.922
Cu5.133Sn1.866S6.65Cl0.35,300,47.73,139506,2.325,0.041
Rb2Bi8Se12.909,625,-193.2,7955,0.629,0.295
Sr0.22Co4Sb12.72,300,-119,179100,4.1,0.2
Cu2.05Cd0.95SnSe4,400,144.8,13595,1.677,0.068
Tl8.95Bi1.05Te6.0,444,-103,570,0.34,0.008
Cu2ZnSn0.98Ag0.02Se4,323,67.61,34910,4.363,0.012
Ag2Se1.02,377,-132.98,148033,1.182,0.835
(Cu3SnS4)0.85(Ga2Te3)0.15,674,160.6,28782,1.203,0.416
CuFeS2,200,-375.57,5830,16.14,0.01
YbCd1.3Zn0.7Sb2,550,160.4,64200,1.242,0.731
Li0.02Cu1.85Se,706,61.3,202885,3.052,0.176
Li0.03Cu1.82Bi0.03Se,606,73.08,132184,1.723,0.248
Nb0.9Ta0.1CoSn0.9Sb0.1,338,-100.96,134326,5.32,0.087
SnSe,623,384,469,0.59,0.073
FeNb0.88Hf0.12Sb,800,195.63,154300,4.83,0.988
Ti0.97Mn0.03NiSn0.97Sb0.03,498,-128.43,141722,5.456,0.213
LiCo0.92Ni0.08O2,823,619.18,12.69,1.2,0.003
GeSe0.9Te0.1,430,104.96,2584,1.534,0.008
Pb0.99Tl0.005Na0.005Te,497,212.42,44080,1.511,0.654
V0.855Ti0.1 CoSb,972,-147.5,118840,1.73,0.67
CuMo6Te8,500,4.2,186200,3.653,0
Mg3.5Gd0.02Sb2,300,-220,11583,1.136,0.148
Sn1.03Se0.12Te0.87Br0.01,723,144.14,110526,2.107,0.676
Ge0.95Mn0.05Te,298,45.16,379381,4.791,0.048
Sn0.98Pb0.01Zn0.01Se,673,516.31,971,0.667,0.261
Mg2.994Na0.006Sb2,565,190,15500,0.98,0.323
Ag0.02Cr1.98Se3,566,152.43,26750,1.53,0.234
Ge0.98Mn0.02Te,298,41.6,475258,5.85,0.042
Ba0.11Yb0.08Co4Sb12,500,-144.5,154000,2.39,0.673
FeNb0.9Zr0.1Sb,900,225.3,105500,7.117,0.677
SnTe0.2AgSbSe2,800,140.38,69799,1.21,0.934
MgAgSb0.995In0.005,450,204.9,41050,1.016,0.8
ZrNiPb0.96Sn0.2Bi0.02,673,-141.2,258298,5.95,0.582
La0.7Co4Sb12,373,-177.66,33300,3.157,0.124
Ba8.01Ga15.83Zn0.019Sn30.15,340,430.9,4929,0.826,0.377
(Sn0.8Ge0.2)0.97Mn0.03Te,673,99.4,163610,2.679,0.406
Hf0.7Ti0.3CoSb0.8Sn0.2,779,221.7,46800,2.85,0.63
YbSi2,426,-43.6,671200,9.5,0.057
(Sn0.8Ge0.2)0.97Mn0.03Te,873,141.24,102300,2.039,0.874
Ag0.98Nb0.02BiSe2.0,675,-242.4,6430,0.48,0.531
Cu2.1Cd0.9SnSe4,700,156.7,18960,0.5,0.652
ZnSc0.02O1.03,573,-214.7,4428,19.583,0.006
Sn0.985In0.015Te,723,106.7,189326,3.678,0.424
Ca1.11Yb3.89Al2Sb5.77Ge0.23,304,33.02,21308,2.341,0.003
Ag2.0Se0.6Te0.4,345,-111,78990,0.72,0.466
Ti0.82PtSb,301,-78.1,133900,2.53,0.08
Cu2.2Se,572,141.7,55410,1.11,0.573
Bi1.94Nb0.06Te3,572,-100.67,37597,0.852,0.256
GeSe0.85Te0.15,430,22.15,73881,1.893,0.008
Cd2Cu3In3Te8,427,171,15000,1.476,0.127
Li1.04Co0.85Ni0.15O2,623,308,9.11,1.688,0
Eu(Zn0.7Cd0.3)2Sb2,500,198.46,40100,1.306,0.605
Ag8Sn0.7Ga0.3Se6,474,-421.9,430,0.255,0.142
Ba8Cu5Si25Ge16,711,-108,72800,1.914,0.313
(SnTe)40Sb2Te3,673,110.43,143567,3.158,0.373
BiSbSe2.82Cl0.18,400,-152,14800,0.58,0.236
Co0.95Ni0.05GeTe,825,-96.17,121693,5.229,0.178
As2Te2.8Se0.2,423,221.21,1671.9,0.571,0.061
Cu2.2Se,870,215.35,29730,0.962,1.26
BaDyCo4O7,368,142.9,77,0.613,0.001
Cu2.1Cd0.9SnSe4,300,129.5,20517,2.05,0.05
K8Ga8Ge38,150,1.06,136.89,1.173,0
(PbTe)(MnTe)0.03,323,-165.09,103699,2.085,0.438
SnAgSbSe2,600,60,285000,5.145,0.12
Ca14MgSb11,1000,171.8,6688,0.72,0.274
Mg3.5Ho0.01Sb1.97Te0.03,300,-214.1,19512,1.143,0.235
BiSb(Se0.94Br0.06)3,800,-219,15479,0.44,1.35
Zn0.95Cd0.05Sc0.02O1.03,573,-100,16800,6.75,0.014
Mg2.994Na0.006Sb2,370,139,16444,1.379,0.085
Li1.1Co0.85Ni0.15O2,823,304.5,223.35,1.911,0.009
ZrNiSn0.98Bi0.02,303,-136,42687,9.72,0.025
Cu22Sn9SbS32,700,147.6,52326,1.473,0.542
Rb2Bi8Se12.909,428,-166,10795,0.714,0.178
CuAgTe0.6Se0.4,330,209.51,9916,0.433,0.332
Sn0.97Pb0.02Zn0.01Se,773,411.97,4000,0.565,0.928
Ti0.95Mn0.05NiSn0.95Sb0.05,697,-154.2,179500,5.644,0.527
SnS0.97Se0.03,300,215,73400,2.92,0.349
Cu0.9Pd0.1FeS2,30,-30.53,57255,13.4,0
Ba8.04Cu4.99Si18Ge22.98,466,-162.65,27400,1.307,0.258
AgBi0.9Sb0.1Se2,575,75.52,174.6,0.331,0.002
CoS2,300,-40.2,667884,11.2,0.029
CoS2,41,-28.8,5214000,10.8,0.016
Mo3Sb7I0.75,823,49.13,421810,6.56,0.128
Ag0.01Sn0.99Se0.8S0.2,322,313.68,1031,0.199,0.164
Ti0.99Mn0.01NiSn0.99Sb0.01,297,-127.14,88742,6.235,0.068
Cu1.875Ag0.125SnSe3,500,229.29,2510,0.635,0.104
Cu2ZnSn0.925Ag0.075Se4,573,88.17,56985,2.331,0.109
CuGa0.99Mn0.01Te2,325,332,6053,5.383,0.04
Ca14MgSb11,1083,182,6700,0.74,0.322
AgMo6Te8,800,34,168200,4.513,0.034
Rb2Bi8Se12.9805,330,-223.2,8106,0.74,0.18
BaZn2As2,523,250,4557,1.255,0.119
AgBi0.85Sb0.15Se2,550,354.17,127.5,0.372,0.024
Sr15Ga29.5Ge55.6,375,-167,35082,1.022,0.363
Cu7P(S0.5Se0.5)6,325,256.21,1000,0.253,0.084
Zn0.9Cd0.1Sc0.04O1.06,1173,-166.4,21145,2.7,0.254
Eu0.27Co4Sb12,850,-163,141400,1.2,0.9
Bi2Te3,478,-127.73,22792,0.909,0.196
Sr14MgBi11,326,32.5,63203,1.253,0.017
Co4Sb11.95Te0.05,300,-194,45100,7.3,0.1
Cu2.82Ag0.18SbSe4,473,411,5782,0.93,0.497
Cu7PSe6,523,204.76,4078.7,0.3,0.298
La0.5Co4Sb12,773,92,26820,3.42,0.051
Sr0.22Co4Sb12.72,850,-179,99000,1.7,0.8
Cu2.94Ag0.06SbSe4,523,403,5134,1.1,0.39
Ba8Cu5Si25Ge16,514,-83.1,94600,1.885,0.178
Ag2Se1.01,312,-142,118525,1.02,0.731
BiSb(Se0.98Br0.02)3,300,-109,21915,0.68,0.12
Sn0.975Pb0.01Cd0.015Se,723,400.2,2127,0.519,0.474
Ge0.87Mn0.05Sb0.08Te,598,192.9,82474,1.617,1.135
Ca3Al0.95Zn0.05Sb3,622,236.7,4900,0.81,0.211
Nb0.95Ta0.05CoSn0.9Sb0.1,430,-102.89,135035,5.245,0.117
La0.1Co4Sb12,673,113.8,26120,3.814,0.06
CoS2,107,-27.4,1190412,14.12,0.007
Ta0.88Ti0.12FeSb,370,125.4,325500,5.45,0.348
Sn1.03Te,423,27.07,434211,7.855,0.017
(SnTe)0.94(CuSbTe2)0.06,427,44.2,297300,4.236,0.059
MgAgSb0.99In0.01,400,187.82,53273,0.951,0.791
CuAgTe0.5Se0.5,443,203.8,4807,0.325,0.272
Zn0.9Cd0.1Sc0.02O1.03,873,-130,35700,3.583,0.147
Y0.2Bi1.8Te3,398,-143.3,78100,0.596,1.071
Sn1.03Te,623,85.9,173900,4.95,0.162
Gd2Se2.98,450,-147.46,34430,1.71,0.197
Mo3Sb7I0.75,623,38.54,477200,6.29,0.07
Cu1.8Se,672,60.89,258110,4.025,0.16
SnS,723,413,6500,1.032,0.788
Ag0.03Cu1.945S0.5Se0.5,300,144.59,3235,0.313,0.065
Co0.95Ni0.05GeTe,626,-87.87,125397,4.908,0.123
Bi2Te3,498,-158.16,72257,0.939,0.959
Mg2.16(Si0.4Sn0.6)0.98Bi0.02,500,-168.1,129500,2.365,0.774
Mg2Zn0.98Sb2,373,296.71,4570,0.674,0.223
Ge0.95Mn0.05Te,773,159,131900,2.481,1.039
Ag0.01Sn0.99Se0.65S0.35,763,392,877,0.205,0.502
Zn0.97Al0.03O,473,-78,45000,6.7,0.019
Sn0.91Mn0.09Te0.98I0.02,867,211.86,46154,1.473,1.219
Ag2Se,524,-100,118621,3.1,0.19
CuAgTe0.6Se0.4,349,216.3,9186,0.413,0.363
Ag0.01Sn0.99Se,518,380.77,698,0.286,0.183
CsPr2Ag3Te5,385,43.52,69.12,0.655,0
Bi2Te3,505,-113,20649,0.924,0.144
Ba8Cu5.04Si13.01Ge27.96,713,-120.4,53800,1.81,0.309
In4Pb0.01Sn0.03Se2.9Cl0.06,323,-199.2,3050,0.944,0.038
Ag0.01Cr1.99Se3,566,152.4,26500,1.614,0.216
Ge0.87In0.05Pb0.08Te,425,207.39,43511,1.1,0.723
Pb0.9825Tl0.0075Na0.01Te,497,195.1,60854,1.614,0.713
In0.005Pb0.995Te0.999I0.001,663,-255,11770,1.373,0.366
Bi0.42Sb1.58Te3,323,224.5,51064,0.934,0.89
SnTe,616,63.28,269822,4.434,0.15
Ag0.02Cu1.955S0.5Se0.5,673,180.98,27574,0.828,0.914
Bi2.0S2.85Se0.15,623,-516,403,0.53,0.126
(Cu3SnS4)0.85(Ga2Te3)0.15,624,149.75,31853,1.236,0.361
Bi0.8Ba0.2CuSeO,522,189.5,13510,0.743,0.457
La0.25Ca0.75TiO3,538,-86,97300,3.3,0.117
In3.95Pb0.05Se3,480,-242,11200,0.86,0.366
Rb2Bi8Se12.9935,724,-262.4,5420,0.53,0.51
Ca5In1.98Zn0.02Sb6,722,290,4612,0.666,0.405
Cu3Sb0.998In0.002Se4,523,317.48,5952,1.25,0.251
LiCoO2,1023,653.79,57.36,2.716,0.009
Sb0.15Ge0.85Te,773,265.19,42110,1.473,1.554
SnS0.88Se0.12,872,378,6200,1,0.72
TmCuTe2,503,110,57326,1.183,0.295
Cu3Sb0.996In0.004Se4,323,230,5800,2.522,0.039
Cu2Zn0.2Fe0.8SnSe4,373,232.95,2645,1.74,0.031
Li0.03Cu1.83Bi0.02Se,303,52.5,89655,1.063,0.07
(Cu0.001Pb0.999Te)(MnTe)0.03,723,-237.19,31507,1.149,1.115
BiSbSe2.82Cl0.18,500,-182,11770,0.55,0.354
Ag0.01Cr1.99Se3,671,162,23290,1.68,0.244
Cu7PS6,623,270.24,370,0.195,0.086
La0.7Co4Sb12,573,-201,35088,4.46,0.182
Yb14MgSb11,500,106.4,23650,0.825,0.162
Ca10ZnSb9,373,19.4,37.35,0.643,0
CoGeTe,551,-140,7181,5.97,0.013
In0.01Pb0.99Te0.994I0.006,585,-200,34600,1.42,0.563
Mg2.16(Si0.4Sn0.6)0.97Bi0.03,700,-198.6,105555,2.279,1.279
GeTe,550,75.4,280488,4,0.219
(Ag0.1Sb0.1Sn0.8)(S0.1Se0.1Te0.8),825,148.5,79907,1.5,0.969
Cu2Se0.7S0.3,707,131.68,48571,0.781,0.762
As2Te2.8Se0.2,298,181.19,649.4,0.657,0.01
K0.09Co4Sb12,800,-193,41000,3.8,0.3
CsPr2Ag3Te5,462,133.94,98.53,0.616,0.001
La0.2Ca0.8TiO3,1016,-200,26000,2.61,0.405
Cd2Cu3In3Te8,675,216.2,8200,0.714,0.362
Ca3Co3.9Ti0.1O9,300,131,5623,2.59,0.011
NbCo0.9Ni0.1Sn,492,-151.76,90952,8.095,0.127
Al0.02Ge0.98Te,823,142.5,178571,3.182,0.928
Ag0.8Sb0.8Pb18.3Te20.0,373,-336,4080,0.917,0.187
Nd2.86Te4,773,-97.17,86170,1.9,0.311
Ca9Yb2Sb10,608,15.3,50612,0.953,0.008
Mg2Cu3In3Te8,572,290.7,4862,1.73,0.136
Hf0.9Ti0.1CoSb0.8Sn0.2,989,218,54752,3.292,0.781
LaCo0.5(Ni0.5Fe0.5)0.5O3,300,109,1060,0.07,0.052
Ag0.5Sb1.1Pb19.6Te18.8,423,1.6,29875,1.633,0
GeSe0.95Te0.05,681,551.75,239.21,0.762,0.065
SnS,573,305.2,19318,1.466,0.694
Ag0.97CrSe2,703,144.07,11217,0.395,0.414
Pb0.99Na0.01Te,798,279.41,24450,0.899,1.695
Sn0.91Mn0.09Te,720,139.84,106509,2.579,0.581
As2Te2.3Se0.7,373,347.96,160.46,0.487,0.015
Pb0.975Zn0.04Te,622,-251.3,30600,1.278,0.941
Bi0.94Ag0.06CuSeO,473,260.3,1470,0.497,0.095
TiNiSn,598,-177.08,79470,5.087,0.293
Mo3Sb7I1.5,323,6.6,497000,4.31,0.002
Ag2Se0.98,376,-92.5,293100,1.626,0.58
Cu10.5Ni0.5ZnSb4S13,323,168.2,6860,0.398,0.158
BaLuCo4O7,368,128,99,0.59,0.001
Mg2.16(Si0.4Sn0.6)0.97Bi0.03,600,-180.4,124603,2.298,1.059
Se0.05Co4Sb11.9Se0.1,600,-354,12100,2.8,0.3
Ba8.04Cu4.9Si3.23Ge37.83,712,-137,50825,1.514,0.449
GeSe0.95Te0.05,633,567.22,134.52,0.859,0.032
ZrNiPb0.99Bi0.01,475,-160.3,171240,7.736,0.27
Ge0.55Sb0.25Te0.8(AgSnSe2)0.2,623,209.94,25806,0.74,1.09
Cu5Sn2Se7,400,26.34,500000,4.774,0.029
FeNb0.92Ti0.08Sb,700,207,110000,7.4,0.446
(SnTe)0.86(CuSbTe2)0.14,723,145.5,95550,2.112,0.692
Cu1.55S,550,26.03,415385,4.791,0.032
Sn0.97Ce0.03Te,623,150,73420,2.245,0.48
In0.01Pb0.99Te0.998I0.002,428,-238.7,23350,1.61,0.354
Ba8.01Ga15.89Zn0.006Sn30.1,500,398.9,11050,0.908,0.968
Gd2.75Se4,550,-147,7230,0.811,0.106
Cu2ZnSnSe4,473,144.8,16500,3.76,0.044
YbCd1.5Zn0.5Sb2,350,121.03,91450,1.613,0.33
BiCuSeO,420,421.15,874,0.69,0.094
Ag0.01Sn0.99Se0.9S0.1,567,415.8,569,0.192,0.291
S0.18Co3.4Ni0.58Sb11.94,300,-90,108000,2.2,0.1
Cu12Sb4S13,720,219.52,8570,0.448,0.664
Tl9.0Sb0.97Te6,507,173,26330,0.55,0.726
NbCoSn0.9Sb0.1,924,-160,90780,4.526,0.474
Zn0.96Al0.04O,573,-81,50500,3.7,0.051
Ag0.01Sn0.99Se0.85S0.15,518,395.3,571,0.162,0.286
Mg3.5Gd0.01Sb2,500,-285.92,6711,0.881,0.311
Bi0.985Na0.015CuSeO,923,318,4700,0.5,0.91
(Cu3SnS4)0.85(Ga2Te3)0.15,741,183.33,19467,1.039,0.467
Ba0.11Yb0.03Co4Sb12.07,300,-115,178700,1.9,0.2
Bi0.98Pb0.02CuSeO,250,203.61,22230,1.72,0.134
Ge0.9Mn0.05Sb0.05Te,648,189,86700,1.711,1.173
Cu5.133Sn1.866S6.65Cl0.35,415,68.75,118325,1.938,0.12
(SnTe)20Sb2Te3,723,149.49,100127,2.37,0.683
BiCuSeO,639,177.63,3871,0.455,0.171
Sn0.98In0.02Se,623,493,125,0.62,0.029
Mg3.5Gd0.01Sb2,300,-239.64,5971,1.191,0.086
Cu3.0SbSe4,448,427,2803,1.5,0.153
PbZn0.015Te,618,-296.6,18800,1.122,0.937
Cu5.133Sn1.866S6.65Cl0.35,617,106.25,76610,1.5,0.356
Sn0.96Pb0.01Cd0.035Se,723,377.33,3238,0.338,0.986
Ag0.01Sn0.99Se0.65S0.35,322,304.7,550,0.293,0.056
Ba0.98K0.02Zn2As2,823,166.2,39530,1.521,0.591
CuFeS2,600,-380,3914,2.615,0.13
AgSn25.0BiTe27.0,300,46,254808,3.41,0.047
Mg0.99Li0.01Ge0.9Si0.1,675,309.06,14769,2.66,0.358
Ca1.58Yb3.42Al2Sb6,702,53.87,21250,3.25,0.013
(CaZn0.4Ag0.2Sb)0.87(LiZnSb)0.13,773,196.69,19428,0.574,1.039
AgBi0.9Sb0.1Se2,676,-247.22,5464,0.401,0.563
Ca14MgSb11,700,139.4,6250,0.68,0.125
Hf0.5Ti0.5CoSb0.8Sn0.2,574.6,225.67,39000,2.51,0.452
AgBi0.94Pb0.06Se2.12,300,302,4080,0.6,0.186
Rb2Bi8Se12.909,330,-142.3,15700,0.84,0.125
Cu2Se0.92S0.08,450,138.49,46648,0.794,0.507
Cu11.9Gd0.1Sb4S13,425,90.62,103987,1.498,0.242
Ta0.98Ti0.02FeSb,470,237,51500,6.805,0.2
Cr1.99Mn0.01Ge2Te6,713,292.78,4710.94,0.628,0.459
Cu2.025Cd0.975SnSe4,450,183.4,6552,1.555,0.064
Cu2Se0.88S0.12,650,217.33,19622,0.644,0.935
Mg3.5Ho0.03Sb1.97Te0.03,300,-200,27081,1.164,0.279
Tl8.99Sb1.01Te6,445,165.7,31743,0.57,0.68
Cu2.88Ag0.12SbSe4,573,361,7597,0.9,0.61
TmCuTe2,600,128,44182,1.164,0.373
Ag8SnSe6,650,-136.7,21890,0.427,0.623
Ag0.01Sn0.99Se0.85S0.15,813,314.96,2247,0.116,1.557
Ce0.16Co4Sb12,300,-118,196000,2.2,0.2
Ca3Al0.99Zn0.01Sb3,822,264,5100,0.718,0.437
Sn0.95Mn0.05Te,424,55.47,375148,5.316,0.092
Ge0.89In0.05Pb0.06Te,325,136.81,63889,1.287,0.302
Cu2Sn0.95Zn0.05S3,423,125,16438,1.21,0.09
Ba8Ga15.88Zn0.007Sn30.12,580,384.7,11890,1.251,0.816
Rb2Bi8Se12.9935Cl0.0065,823,-215.35,5441,0.485,0.428
(Cu3SnS4)0.875(Ga2Te3)0.125,624,140.4,52117,1.681,0.381
(SnTe)0.84(CuSbTe2)0.16,625,105.4,141200,2.46,0.399
SnTe0.2AgSbSe2,500,104.25,89262,1.2,0.466
AgBi0.9Sb0.1Se2,300,133,2.2,0.464,0
Cu2ZnSn0.95Ag0.05Se4,323,34.37,258333,4.211,0.023
Cu2Sn0.8Zn0.2S3,323,44,137534,2.575,0.033
Ge0.85In0.05Pb0.1Te,375,219.5,29040,0.954,0.55
(Cu3SnS4)0.915(Ga2Te3)0.085,700,111.62,94370,2.769,0.297
(CaZn0.4Ag0.2Sb)0.95(LiZnSb)0.05,773,168.4,29020,0.795,0.8
Ba8.02Cu4.98Si35Ge5.99,763,-99.7,85119,2.355,0.274
(V0.6Nb0.4)0.8Ti0.2FeSb,300,143.5,114270,3.09,0.19
Ba0.05Yb0.09Co4Sb12,600,-225.86,82600,2.47,1.024
Pb0.98Zn0.035Te,821,-255.8,26450,1.16,1.24
Ag0.02Cr1.98Se3,619,161.87,24800,1.551,0.259
Ti0.98Mn0.02NiSn0.98Sb0.02,797,-149.4,150331,5.642,0.474
PbTe,629,-320.38,13224,1.186,0.736
AgCuTe0.9Se0.1,623,214,21650,0.554,1.115
ZrNiSn,972,-151.4,96111,3.951,0.542
Cu2Se0.96S0.04,650,182.57,32745,0.832,0.853
Mg3Sb1.6Bi0.4,565,246,2010,0.53,0.13
Cu1.975S0.5Se0.5,772,186,31800,0.874,0.972
Ba0.16Co4Sb11.85,300,-132,213800,4.6,0.2
AgSn5.0BiTe7.0,500,137,77885,1.824,0.401
Ag1.3Sb0.9Pb15.7Te22.0,673,140.8,2317,1.06,0.029
Sn0.98Ce0.02Te,523,66,213924,3.33,0.146
Sn0.91Mn0.09Te,424,75,235503,3.671,0.153
Bi0.8Pb0.1Yb0.1CuSeO,347,81.25,30000,0.776,0.089
Cu5.133Sn1.866S6.3Cl0.7,685,126.99,51954,1.325,0.433
Cu0.995Pd0.005FeS2,200,-395.4,3652,12.16,0.009
Cu2Mo6Te8,500,3.24,214200,3.31,0
Cu2.1Se,572,84.3,162200,2.263,0.291
In0.15Co4Sb11.95,300,-202,103000,2.6,0.4
VFeSb,550,-204.6,75900,4.964,0.343
Bi0.84Pb0.08Yb0.08CuSeO,446,107.89,22326,0.655,0.177
NbCoSn0.9Sb0.1,530,-115.05,130000,5.792,0.157
CoSi0.995B0.005,320,-82.28,705300,14.06,0.108
Cu2Se0.5S0.5,613,97.52,79143,1.005,0.459
BiCu0.975SeO,923,279,5220,0.477,0.786
Ag2Se1.04,311,-145.32,106721,0.944,0.767
GeTe,598,89.35,243299,3.38,0.344
YbCd1.1Zn0.9Sb2,650,134.5,79800,1.33,0.67
Ba8.03Cu5Ge40.97,661,-166.8,30340,1.28,0.437
Ca0.05BaGd1.95NiO5,939,244.85,95.06,1.439,0.004
Cu2Zn0.4Fe0.6SnSe4,473,214.45,4302,1.425,0.066
Ag3.5Mo9Se11,447,89.6,48100,1.18,0.146
Bi1.9Nb0.1Te3,306,-100.4,64510,0.856,0.232
Ag2Se1.01,377,-134.47,141200,1.14,0.84
AgSb0.93Mn0.07Te2,541,133.51,77973,1.197,0.628
Eu(Zn0.7Cd0.3)2Sb2,350,163,53100,1.67,0.296
Cu2Se0.98S0.02,333,94.41,114384,0.84,0.404
(Sn0.985In0.015Te)0.9(AgCl)0.1,723,112.9,180899,2.622,0.636
K0.995Ba0.005GaSb4,509,-268.37,6822,0.669,0.374
Sr0.16Yb0.03Co4Sb11.82,400,-136,249091,3.74,0.493
Cu1.5S,500,21.24,473810,5.147,0.021
Ag(Bi0.85Pb0.15)0.7Sb0.3Se2,326,389.19,605,0.564,0.053
Bi2Si2Te6,473,160.64,10694,0.754,0.173
Sr14.1Ga29.6Ge56.3,568,-150.7,46800,1.74,0.347
FeNb0.88Hf0.12Sb,1100,235.44,94600,4.27,1.36
Ag0.5Sb1.1Pb19.6Te18.8,373,4.8,31795,1.725,0
Mg2Zn1.02Sb2,473,96.69,2052,0.732,0.012
Ti0.97Mn0.03NiSn0.97Sb0.03,797,-146.12,137100,5.475,0.426
(PbTe)0.15(Ag2Te)0.85,300,-102.5,95750,0.976,0.42
Ba0.15In0.16Co4Sb11.83,300,-139,182900,1.6,0.4
(Sn0.8Ge0.2)0.82Mn0.18Te,873,153,80600,1.512,1.089
Cu0.98Pd0.02FeS2,100,-116,9306,13.98,0.001
Se0.05Co4Sb11.9Se0.1,800,-172,21900,3.1,0.2
Ag(Bi0.8Nb0.2)0.7Sb0.3Se2,478,-225,2818,0.493,0.138
Yb14MgSb11,900,205.07,13816,0.711,0.736
Al0.02Ge0.98Te,673,118.39,258929,3.838,0.636
Ca5Al1.9Zn0.1Sb6,624,149.2,19350,1.096,0.245
Zn0.95Cd0.05Sc0.02O1.03,300,-60,18000,11.5,0.002
(Sn0.985In0.015Te)0.85(AgCl)0.15,823,132.46,122472,2.18,0.811
Ag0.01Sn0.99Se,616,416,653,0.29,0.24
Yb14MgSb11,400,81.5,27500,0.81,0.09
Cu2ZnSn0.925Ag0.075Se4,323,45.07,79487,3.936,0.013
Zn0.9Cd0.1Sc0.03O1.045,573,-92.7,44000,4.93,0.044
(Cu3SnS4)0.85(Ga2Te3)0.15,429,102.02,50000,1.632,0.137
ZrNiPb0.98Bi0.02,771,-156.33,204869,7.11,0.543
Zn0.9Cd0.1Sc0.02O1.03,573,-99,47570,5,0.053
Al0.03Ge0.97Te,373,47.68,483929,5.626,0.073
CuGaTe2,818,248.4,23700,2.24,0.534
CuAgTe0.6Se0.4,408,237.77,7229,0.34,0.491
(SnTe)0.9(CuSbTe2)0.1,723,146.7,102498,2.025,0.788
Ag1.3Sb0.9Pb15.7Te22.0,573,-91.2,1250,1.028,0.006
(Cu0.002Pb0.998Te)(MnTe)0.03,523,-168.95,84247,1.645,0.764
Sn0.9Pb0.09Zn0.01Se,473,578.93,306,0.75,0.065
Bi1.92Nb0.08Te3,505,-121.2,98571,0.779,0.939
Ti0.95Mn0.05NiSn0.95Sb0.05,871,-155.5,162300,5.715,0.598
(Bi0.23Sb0.77)2Te3,350,244,44766,0.88,1.06
Mg0.97Li0.03Ge0.8Si0.2,400,315.44,7308,3.34,0.087
SnAgSbSe2,750,102.56,153061,3.77,0.323
Ba8.04Cu4.9Si3.23Ge37.83,810,-143.1,45500,1.526,0.495
BiSb(Se0.96Br0.04)3,400,-141,19000,0.59,0.28
Bi1.2Sb0.8Se2.76Cl0.24,700,-188,15900,0.57,0.69
Ge0.99Te,673,133.5,281188,3.5,0.963
Sn1.03Se0.08Te0.92,823,157.2,65800,2.52,0.54
Ca5In1.98Zn0.02Sb6,622,299.4,4794,0.728,0.358
Mg3.5Gd0.04Sb2,700,-303.8,11322,0.626,1.168
Eu(Zn0.7Cd0.3)2Sb2,650,221,30500,1.117,0.867
Cu1.95In0.05Se,770,336.63,1351,1.663,0.181
Se0.15Co4Sb11.7Se0.3,600,-339,10200,1.9,0.4
Ba0.25Co4Sb11.91,850,-192,77500,3.2,0.5
Cu1.85Se,706,57.76,221154,3.439,0.151
Ca3Co3.7Ti0.3O9,500,217,4580,2.172,0.05
Hf0.5Ti0.5CoSb0.8Sn0.2,473,212.45,40000,2.514,0.34
BiCuSeO,737,213.16,3238,0.383,0.283
CoGeTe,478,-171.1,6120,6.455,0.013
CsTb2Ag3Te5,385,61.93,272.59,0.508,0.001
Cu2Se0.92I0.08,450,209,9353,0.518,0.355
Ta0.92Ti0.08FeSb,870,246,80100,4.18,1.009
